raw_name,raw_prefix,model,category,provider,prompt_type,temperature,fine_tuned,distribution,size,vectorizer,f1_macro,precision,recall,accuracy,fleiss_kappa,mean_cohen_kappa,consistency_all_runs
6B-100d_real_250__XGBoost_pred,,XGBoost,ML,,,,,real,250.0,6B-100d,0.7937823834196891,0.7267552182163188,0.8744292237442922,0.801,,,
6B-100d_real_500__RandomForest_pred,,RandomForest,ML,,,,,real,500.0,6B-100d,0.7887617065556711,0.7246653919694073,0.865296803652968,0.797,,,
6B-100d_real_500__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,500.0,6B-100d,0.7794432548179872,0.7338709677419355,0.8310502283105022,0.794,,,
6B-100d_real_500__KNeighbors_pred,,KNeighbors,ML,,,,,real,500.0,6B-100d,0.768,0.6832740213523132,0.8767123287671232,0.768,,,
6B-100d_real_500__SVM_pred,,SVM,ML,,,,,real,500.0,6B-100d,0.7544783983140148,0.700587084148728,0.817351598173516,0.767,,,
6B-100d_real_500__XGBoost_pred,,XGBoost,ML,,,,,real,500.0,6B-100d,0.7954309449636553,0.7295238095238096,0.8744292237442922,0.803,,,
6B-100d_real_1000__RandomForest_pred,,RandomForest,ML,,,,,real,1000.0,6B-100d,0.8062176165803109,0.7381404174573055,0.8881278538812786,0.813,,,
6B-100d_real_1000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,1000.0,6B-100d,0.7934426229508197,0.7610062893081762,0.8287671232876712,0.811,,,
6B-100d_real_1000__KNeighbors_pred,,KNeighbors,ML,,,,,real,1000.0,6B-100d,0.7865168539325843,0.711645101663586,0.8789954337899544,0.791,,,
6B-100d_real_1000__SVM_pred,,SVM,ML,,,,,real,1000.0,6B-100d,0.8012618296529969,0.7426900584795322,0.8698630136986302,0.811,,,
6B-100d_real_1000__XGBoost_pred,,XGBoost,ML,,,,,real,1000.0,6B-100d,0.811965811965812,0.7630522088353414,0.867579908675799,0.824,,,
6B-100d_real_2000__RandomForest_pred,,RandomForest,ML,,,,,real,2000.0,6B-100d,0.8174097664543525,0.7638888888888888,0.8789954337899544,0.828,,,
6B-100d_real_2000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,2000.0,6B-100d,0.8100436681222707,0.7761506276150628,0.8470319634703196,0.826,,,
6B-100d_real_2000__KNeighbors_pred,,KNeighbors,ML,,,,,real,2000.0,6B-100d,0.7967644084934277,0.7150635208711433,0.8995433789954338,0.799,,,
6B-100d_real_2000__SVM_pred,,SVM,ML,,,,,real,2000.0,6B-100d,0.8074150360453141,0.7354596622889306,0.8949771689497716,0.813,,,
6B-100d_real_2000__XGBoost_pred,,XGBoost,ML,,,,,real,2000.0,6B-100d,0.832800851970181,0.780439121756487,0.8926940639269406,0.843,,,
6B-300d_real_100__RandomForest_pred,,RandomForest,ML,,,,,real,100.0,6B-300d,0.6398104265402843,0.6650246305418719,0.6164383561643836,0.696,,,
6B-300d_real_100__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,100.0,6B-300d,0.7936191425722832,0.7044247787610619,0.908675799086758,0.793,,,
6B-300d_real_100__KNeighbors_pred,,KNeighbors,ML,,,,,real,100.0,6B-300d,0.7593283582089553,0.6419558359621451,0.9292237442922374,0.742,,,
6B-300d_real_100__SVM_pred,,SVM,ML,,,,,real,100.0,6B-300d,0.7686196623634558,0.680140597539543,0.8835616438356164,0.767,,,
6B-300d_real_100__XGBoost_pred,,XGBoost,ML,,,,,real,100.0,6B-300d,0.7581967213114754,0.6877323420074349,0.8447488584474886,0.764,,,
6B-300d_real_250__RandomForest_pred,,RandomForest,ML,,,,,real,250.0,6B-300d,0.7416173570019724,0.6527777777777778,0.8584474885844748,0.738,,,
6B-300d_real_250__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,250.0,6B-300d,0.8016443987667009,0.7289719626168224,0.8904109589041096,0.807,,,
6B-300d_real_250__KNeighbors_pred,,KNeighbors,ML,,,,,real,250.0,6B-300d,0.7607843137254902,0.6666666666666666,0.8858447488584474,0.756,,,
6B-300d_real_250__SVM_pred,,SVM,ML,,,,,real,250.0,6B-300d,0.7850267379679144,0.738430583501006,0.8378995433789954,0.799,,,
6B-300d_real_250__XGBoost_pred,,XGBoost,ML,,,,,real,250.0,6B-300d,0.8072033898305084,0.7529644268774703,0.8698630136986302,0.818,,,
6B-300d_real_500__RandomForest_pred,,RandomForest,ML,,,,,real,500.0,6B-300d,0.8145833333333333,0.7490421455938697,0.8926940639269406,0.822,,,
6B-300d_real_500__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,500.0,6B-300d,0.8012752391073327,0.7495029821073559,0.860730593607306,0.813,,,
6B-300d_real_500__KNeighbors_pred,,KNeighbors,ML,,,,,real,500.0,6B-300d,0.7831325301204819,0.6989247311827957,0.8904109589041096,0.784,,,
6B-300d_real_500__SVM_pred,,SVM,ML,,,,,real,500.0,6B-300d,0.8185654008438819,0.7607843137254902,0.8858447488584474,0.828,,,
6B-300d_real_500__XGBoost_pred,,XGBoost,ML,,,,,real,500.0,6B-300d,0.8104712041884817,0.7485493230174082,0.8835616438356164,0.819,,,
6B-300d_real_1000__RandomForest_pred,,RandomForest,ML,,,,,real,1000.0,6B-300d,0.8277268093781855,0.7476979742173112,0.9269406392694064,0.831,,,
6B-300d_real_1000__LogisticRegression_pred,,LogisticRegression,ML,,,,,real,1000.0,6B-300d,0.825531914893617,0.7729083665338645,0.8858447488584474,0.836,,,
6B-300d_real_1000__KNeighbors_pred,,KNeighbors,ML,,,,,real,1000.0,6B-300d,0.8008255933952528,0.7306967984934086,0.8858447488584474,0.807,,,
